timestamp,toaster
2014-05-03 10:56:16.591023922+02:00,0.0
2014-05-03 10:58:22.296598911+02:00,0.0
2014-05-03 11:01:08.965981007+02:00,0.0
2014-05-03 11:03:54.983860016+02:00,0.0
2014-05-03 11:42:50.169296980+02:00,2.2686994
2014-05-03 11:45:36.807142019+02:00,122.114456
2014-05-03 11:48:23.833398104+02:00,494.34933
2014-05-03 11:50:23.780608892+02:00,280.4477
2014-05-03 11:53:11.246021032+02:00,2.2686994
2014-05-03 11:55:58.240983009+02:00,34.372437
2014-05-03 11:58:44.653822184+02:00,582.0284
2014-05-03 12:01:31.803658009+02:00,289.00513
2014-05-03 12:04:20.034105301+02:00,12.970124
2014-05-03 12:06:20.644447327+02:00,32.23224
2014-05-03 12:09:07.494723320+02:00,2.2686994
2014-05-03 12:11:55.043869019+02:00,2.2686994
2014-05-03 12:14:42.030273914+02:00,2.2686994
2014-05-03 12:17:28.750123978+02:00,2.2686994
2014-05-03 12:20:15.715790987+02:00,2.2686994
2014-05-03 12:22:17.814028025+02:00,25.811598
2014-05-03 12:25:04.425959110+02:00,2.2686994
2014-05-03 12:27:51.210124016+02:00,2.2686994
2014-05-03 12:30:40.048927307+02:00,2.2686994
2014-05-03 12:33:32.679083109+02:00,2.2686994
2014-05-03 12:36:32.227325916+02:00,2.2686994
2014-05-03 12:39:30.751893044+02:00,2.2686994
2014-05-03 12:41:33.928217888+02:00,2.2686994
2014-05-03 12:44:20.014060974+02:00,2.2686994
2014-05-03 12:47:07.709098101+02:00,2.2686994
2014-05-03 12:49:53.501141309+02:00,2.2686994
2014-05-03 12:52:40.088314056+02:00,2.2686994
2014-05-03 12:55:28.735341311+02:00,2.2686994
2014-05-03 12:57:30.889915943+02:00,2.2686994
2014-05-03 13:00:17.332117081+02:00,12.970124
2014-05-03 13:03:04.262058020+02:00,2006.7292
2014-05-03 13:05:52.061690092+02:00,1953.387
2014-05-03 13:08:41.873759031+02:00,1983.2593
2014-05-03 13:11:35.523546696+02:00,1957.6545
2014-05-03 13:13:36.829762697+02:00,4.4089985
2014-05-03 13:16:23.587874889+02:00,85.73508
2014-05-03 13:19:10.310579300+02:00,2.2686994
2014-05-03 13:21:57.387432098+02:00,111.41485
2014-05-03 13:24:45.839333296+02:00,2.2686994
2014-05-03 13:27:32.420035839+02:00,128.53413
2014-05-03 13:29:33.877664089+02:00,274.02954
2014-05-03 13:32:21.356791019+02:00,87.8751
2014-05-03 13:35:06.996258020+02:00,2.2686994
