timestamp,washing_machine
2014-05-03 10:56:16.591023922+02:00,0.0
2014-05-03 10:58:22.296598911+02:00,0.0
2014-05-03 11:01:08.965981007+02:00,0.0
2014-05-03 11:03:54.983860016+02:00,0.0
2014-05-03 11:42:50.169296980+02:00,0.0
2014-05-03 11:45:36.807142019+02:00,0.0
2014-05-03 11:48:23.833398104+02:00,0.0
2014-05-03 11:50:23.780608892+02:00,0.0
2014-05-03 11:53:11.246021032+02:00,0.0
2014-05-03 11:55:58.240983009+02:00,0.0
2014-05-03 11:58:44.653822184+02:00,0.0
2014-05-03 12:01:31.803658009+02:00,0.0
2014-05-03 12:04:20.034105301+02:00,0.0
2014-05-03 12:06:20.644447327+02:00,2.3499374
2014-05-03 12:09:07.494723320+02:00,0.0
2014-05-03 12:11:55.043869019+02:00,2.3499374
2014-05-03 12:14:42.030273914+02:00,0.0
2014-05-03 12:17:28.750123978+02:00,0.0
2014-05-03 12:20:15.715790987+02:00,0.0
2014-05-03 12:22:17.814028025+02:00,0.0
2014-05-03 12:25:04.425959110+02:00,0.0
2014-05-03 12:27:51.210124016+02:00,0.0
2014-05-03 12:30:40.048927307+02:00,0.0
2014-05-03 12:33:32.679083109+02:00,0.0
2014-05-03 12:36:32.227325916+02:00,0.0
2014-05-03 12:39:30.751893044+02:00,0.0
2014-05-03 12:41:33.928217888+02:00,0.0
2014-05-03 12:44:20.014060974+02:00,0.0
2014-05-03 12:47:07.709098101+02:00,0.0
2014-05-03 12:49:53.501141309+02:00,0.0
2014-05-03 12:52:40.088314056+02:00,2.3499374
2014-05-03 12:55:28.735341311+02:00,0.0
2014-05-03 12:57:30.889915943+02:00,0.0
2014-05-03 13:00:17.332117081+02:00,0.0
2014-05-03 13:03:04.262058020+02:00,0.0
2014-05-03 13:05:52.061690092+02:00,0.0
2014-05-03 13:08:41.873759031+02:00,0.0
2014-05-03 13:11:35.523546696+02:00,0.0
2014-05-03 13:13:36.829762697+02:00,0.0
2014-05-03 13:16:23.587874889+02:00,0.0
2014-05-03 13:19:10.310579300+02:00,0.0
2014-05-03 13:21:57.387432098+02:00,0.0
2014-05-03 13:24:45.839333296+02:00,0.0
2014-05-03 13:27:32.420035839+02:00,0.0
2014-05-03 13:29:33.877664089+02:00,0.0
2014-05-03 13:32:21.356791019+02:00,0.0
2014-05-03 13:35:06.996258020+02:00,0.0
2014-05-03 13:38:05.970642090+02:00,0.0
2014-05-03 13:41:01.186934710+02:00,0.0
