timestamp,computer
2014-03-24 17:48:47.279539108+01:00,0.0
2014-03-24 17:51:00.470982075+01:00,0.0
2014-03-24 17:56:33.073773146+01:00,0.0
2014-03-24 17:58:34.342010975+01:00,0.0
2014-03-24 18:00:49.994459867+01:00,0.0
2014-03-24 18:03:02.832973957+01:00,0.0
2014-03-24 18:05:05.476457119+01:00,0.0
2014-03-24 18:07:18.528907060+01:00,0.0
2014-03-24 18:09:31.348116875+01:00,0.0
2014-03-24 18:11:32.594645977+01:00,0.0
2014-03-24 18:13:45.485016108+01:00,0.0
2014-03-24 18:16:05.655342102+01:00,0.0
2014-03-24 18:25:34.931735992+01:00,0.0
2014-03-24 18:30:06.784881115+01:00,0.0
2014-03-24 18:32:21.554625988+01:00,0.0
2014-03-24 18:34:40.516180038+01:00,0.0
2014-03-24 18:36:47.236706018+01:00,0.0
2014-03-24 18:39:01.780980110+01:00,0.0
2014-03-24 18:41:24.235868931+01:00,0.0
2014-03-24 18:45:52.550007105+01:00,0.0
2014-03-24 18:48:05.626888037+01:00,0.0
2014-03-24 18:50:08.432315111+01:00,0.0
2014-03-24 18:52:21.414639950+01:00,0.0
2014-03-24 18:54:38.282718897+01:00,0.0
2014-03-24 18:57:02.736066103+01:00,0.0
2014-03-24 18:59:21.774423122+01:00,0.0
2014-03-24 19:06:05.407037020+01:00,0.0
2014-03-24 19:13:30.267809868+01:00,0.0
2014-03-24 19:15:33.611730099+01:00,0.0
2014-03-24 19:17:36.113578796+01:00,0.0
2014-03-24 19:22:09.118798018+01:00,0.0
2014-03-24 19:24:12.956671953+01:00,0.0
2014-03-24 19:26:14.661972046+01:00,0.0
2014-03-24 19:30:38.432836056+01:00,0.0
2014-03-24 19:34:51.418418884+01:00,0.0
2014-03-24 19:36:56.228948116+01:00,0.0
2014-03-24 19:39:32.027808905+01:00,0.0
2014-03-24 19:46:36.501749039+01:00,0.0
2014-03-24 19:49:23.481976032+01:00,0.0
2014-03-24 19:51:26.306543827+01:00,0.0
2014-03-24 19:53:30.893136978+01:00,0.0
2014-03-24 19:55:35.119128942+01:00,0.0
2014-03-24 19:59:42.162872076+01:00,0.0
2014-03-24 20:01:45.364681005+01:00,0.0
2014-03-24 20:03:48.278378963+01:00,0.0
2014-03-24 20:05:50.882167101+01:00,0.0
2014-03-24 20:07:53.359900951+01:00,0.0
